step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,4.514588559686451,0,0.0,0.3479629218708258,0,0.0
10.0,0,0.0,0.0,10.650193590631549,0,0.0,0.7886956131402741,0,0.0
15.0,0,0.0,0.0,9.400853728455626,0,0.0,0.6933545653775883,0,0.0
20.0,5,12.0,0.5,5.691053289151743,5,12.0,0.31004121935969586,5,12.0
25.0,10,40.0,1.4285714285714286,6.524139696233983,10,41.0,0.40633810699654577,10,41.0
30.0,8,73.0,2.607142857142857,6.56606155496638,8,73.0,0.3836659123605803,8,73.0
35.0,6,54.0,1.9285714285714286,6.017342226185311,6,80.0,0.3585294611173466,6,80.0
40.0,15,103.0,2.641025641025641,4.862697602643507,15,103.0,0.2148084312455715,15,103.0
45.0,12,102.0,2.8333333333333335,6.167710084471055,12,118.0,0.38382966443348293,12,118.0
50.0,14,172.0,4.777777777777778,5.03237893856126,14,172.0,0.3166371401786596,14,172.0
55.0,19,177.0,4.214285714285714,4.117688237921589,19,219.0,0.17842976399286664,19,219.0
60.0,16,247.0,6.333333333333333,5.557154543571852,16,255.0,0.2666665900604927,16,255.0
65.0,23,344.0,8.19047619047619,3.74081393599726,23,352.0,0.169057414494166,23,352.0
70.0,26,471.0,11.487804878048781,3.3548099355368914,26,479.0,0.1452832059728737,26,479.0
75.0,26,369.0,8.021739130434783,2.3972235336638987,26,528.0,0.12230881950361731,26,528.0
80.0,19,249.0,4.882352941176471,4.993321351935314,19,453.0,0.26898699892378014,19,453.0
85.0,22,306.0,5.666666666666667,4.707690753229919,22,506.0,0.2382160282895557,22,506.0
90.0,26,424.0,8.313725490196079,2.8727522881013696,26,624.0,0.1415846335172763,26,624.0
95.0,36,587.0,11.288461538461538,1.887199198817914,36,787.0,0.10899706890560897,36,787.0
100.0,40,587.0,10.298245614035087,1.5923569540580833,40,895.0,0.08992116841857492,40,895.0
105.0,40,765.0,13.189655172413794,2.6818046406189135,40,982.0,0.12128098254520651,40,982.0
110.0,40,830.0,12.575757575757576,2.3376542425352334,40,1066.0,0.05377836215976032,40,1066.0
115.0,36,827.0,12.161764705882353,3.9130379032610696,36,1081.0,0.1821080034515376,36,1081.0
120.0,28,879.0,13.734375,4.966011983518153,28,1053.0,0.22327906086227556,28,1053.0
125.0,32,1020.0,15.692307692307692,3.8804495737766667,32,1200.0,0.14006328496559514,32,1200.0
130.0,40,1204.0,18.523076923076925,2.6533808752472456,40,1384.0,0.10280759641591421,40,1384.0
135.0,44,1010.0,16.03174603174603,1.2247721704065204,44,1454.0,0.06302303687982148,44,1454.0
140.0,40,649.0,9.833333333333334,2.183887737250052,40,1388.0,0.09140958165969107,40,1388.0
