step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,6.5795796675762785,0,0.0,0.48180963522963594,0,0.0
10.0,0,0.0,0.0,11.544007951334208,0,0.0,0.8411599666219998,0,0.0
15.0,0,0.0,0.0,8.35947467858146,0,0.0,0.5638131672217718,0,0.0
20.0,8,21.0,0.875,6.074691317148511,8,21.0,0.345354889532076,8,21.0
25.0,10,34.0,1.2592592592592593,6.599378627312001,10,43.0,0.41525242177762073,10,43.0
30.0,9,68.0,2.5185185185185186,6.235026656223313,9,68.0,0.3487630333154734,9,68.0
35.0,12,116.0,4.142857142857143,5.467355899750908,12,119.0,0.3024531659703911,12,119.0
40.0,18,180.0,5.0,4.805118505742553,18,180.0,0.23639908601943269,18,180.0
45.0,16,252.0,6.631578947368421,5.92916302170991,16,252.0,0.32708324314144677,16,252.0
50.0,18,342.0,9.243243243243244,3.9442289783678106,18,342.0,0.24691366167013262,18,342.0
55.0,24,431.0,10.261904761904763,2.4268627162267897,24,432.0,0.13383165452648454,24,432.0
60.0,25,550.0,13.414634146341463,4.074084527300023,25,550.0,0.1822752774889278,25,550.0
65.0,25,659.0,14.02127659574468,3.5921984231067237,25,666.0,0.13994538709589763,25,666.0
70.0,32,806.0,18.318181818181817,2.615721866350965,32,806.0,0.11818641902932422,32,806.0
75.0,28,659.0,12.92156862745098,2.4628979795713057,28,850.0,0.11703176342037654,28,850.0
80.0,24,460.0,8.518518518518519,4.166879377596185,24,788.0,0.23087942206980128,24,788.0
85.0,22,461.0,7.948275862068965,5.318469123460979,22,664.0,0.2555849507795321,22,664.0
90.0,22,550.0,9.821428571428571,5.273879065611927,22,638.0,0.23667802437628113,22,638.0
95.0,26,676.0,12.518518518518519,5.6658361238910615,26,694.0,0.2629811447479798,26,694.0
100.0,31,814.0,14.8,4.4207893203992334,31,814.0,0.14779447456955533,31,814.0
105.0,26,752.0,13.925925925925926,4.0859854836094565,26,881.0,0.16603764484910635,26,881.0
110.0,20,695.0,12.636363636363637,4.0704170441603065,20,865.0,0.16764343350252647,20,865.0
115.0,22,701.0,12.086206896551724,4.515357027536102,22,915.0,0.24101183171488114,22,915.0
120.0,28,827.0,15.60377358490566,3.784986955852376,28,999.0,0.19683229725377108,28,999.0
125.0,35,935.0,16.120689655172413,2.5197513574664,35,1085.0,0.1105230519564687,35,1085.0
130.0,32,1041.0,17.948275862068964,3.3137838961502126,32,1125.0,0.15409037655816568,32,1125.0
135.0,26,1022.0,16.483870967741936,3.7519167786530723,26,1192.0,0.1697257348537023,26,1192.0
140.0,25,1058.0,17.34426229508197,3.682497865064729,25,1222.0,0.15994090098653374,25,1222.0
145.0,40,1209.0,18.318181818181817,3.356849430040804,40,1294.0,0.10550640725476684,40,1294.0
150.0,38,1385.0,20.671641791044777,4.58549026592399,38,1460.0,0.2026599332068015,38,1460.0
155.0,32,1464.0,22.875,4.138200213366009,32,1573.0,0.18354613622307087,32,1573.0
160.0,35,1487.0,23.234375,3.322923242954018,35,1643.0,0.1312859262997091,35,1643.0
165.0,31,1600.0,25.0,4.358770399235591,31,1690.0,0.16305517569810693,31,1690.0
170.0,32,1758.0,27.46875,4.911599401762506,32,1789.0,0.19755355336294247,32,1789.0
175.0,36,1925.0,31.048387096774192,4.419798027111478,36,1925.0,0.14973079335379008,36,1925.0
180.0,33,1859.0,32.6140350877193,3.970270594784991,33,1998.0,0.1536647775083403,33,1998.0
185.0,36,1992.0,31.61904761904762,3.6267644731308346,36,2028.0,0.15423546579421876,36,2028.0
190.0,34,1242.0,20.032258064516128,4.2060631124205585,34,1830.0,0.19670085416623537,34,1830.0
195.0,28,531.0,8.564516129032258,3.9806407220921676,28,1273.0,0.16347278585036154,28,1273.0
200.0,30,543.0,8.484375,4.451385913564286,30,923.0,0.1830751581533806,30,923.0
205.0,33,583.0,9.403225806451612,3.6880433715562173,33,1037.0,0.16833346323200954,33,1037.0
210.0,34,697.0,11.616666666666667,2.899160576031603,34,1116.0,0.10743808483729252,34,1116.0
215.0,38,880.0,14.666666666666666,4.216492584290328,38,1260.0,0.158694335593114,38,1260.0
220.0,39,717.0,10.544117647058824,2.8834494250767397,39,1321.0,0.10427495932622431,39,1321.0
225.0,32,482.0,7.53125,3.722708053706624,32,1261.0,0.19563896229844416,32,1261.0
230.0,28,473.0,7.059701492537314,4.105022432228556,28,1182.0,0.18356720506716748,28,1182.0
235.0,32,585.0,8.73134328358209,4.139974500455256,32,1151.0,0.16857529798745416,32,1151.0
240.0,32,745.0,11.825396825396826,4.7814346885311085,32,1172.0,0.21539242270835682,32,1172.0
245.0,36,913.0,13.833333333333334,4.447842387757016,36,1301.0,0.1767624469486162,36,1301.0
250.0,36,1093.0,17.629032258064516,4.420922313217387,36,1473.0,0.17518608406411337,36,1473.0
255.0,39,1282.0,19.723076923076924,3.2226162163927694,39,1662.0,0.09389070063259781,39,1662.0
260.0,36,1185.0,17.954545454545453,3.9895102509449902,36,1735.0,0.1990522335045319,36,1735.0
265.0,43,1312.0,20.5,3.2985189152482075,43,1742.0,0.14469182334859693,43,1742.0
270.0,41,1236.0,19.3125,2.9347167562994665,41,1824.0,0.11256944189805002,41,1824.0
275.0,35,1109.0,17.603174603174605,3.2866886040001035,35,1786.0,0.1349647237042562,35,1786.0
280.0,34,1184.0,17.671641791044777,4.0470087853855565,34,1779.0,0.15318778357937368,34,1779.0
285.0,35,1343.0,20.984375,4.503255393310069,35,1806.0,0.1776745257129469,35,1806.0
290.0,35,1518.0,22.65671641791045,4.363637912803086,35,1936.0,0.18035522562850695,35,1936.0
295.0,39,1702.0,25.029411764705884,4.544810365130299,39,2107.0,0.19504933155135043,39,2107.0
300.0,38,1750.0,27.77777777777778,3.984624304700883,38,2212.0,0.19317527129100823,38,2212.0
