step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.477571194339543,0,0.0,0.3906926119080379,0,0.0
10.0,0,0.0,0.0,11.879931535339809,0,0.0,0.8476477710556269,0,0.0
15.0,0,0.0,0.0,8.739034364158039,0,0.0,0.595864278860626,0,0.0
20.0,6,16.0,0.6666666666666666,6.021750128534158,6,16.0,0.32929067060272965,6,16.0
25.0,10,31.0,1.1481481481481481,6.494832300236595,10,36.0,0.40707006357876235,10,36.0
30.0,10,69.0,2.6538461538461537,5.8796674314396,10,69.0,0.32544115471065027,10,69.0
35.0,10,109.0,3.892857142857143,5.994478911059189,10,112.0,0.3217654960625908,10,112.0
40.0,18,172.0,4.777777777777778,5.091433235978124,18,172.0,0.2313831763101487,18,172.0
45.0,15,243.0,6.394736842105263,6.444611184490801,15,243.0,0.35352731604658255,15,243.0
50.0,18,329.0,9.13888888888889,4.42676650260082,18,329.0,0.27600963413538393,18,329.0
55.0,24,419.0,10.21951219512195,2.774064368138356,24,419.0,0.14970036364334766,24,419.0
60.0,24,535.0,13.048780487804878,4.48857037253599,24,535.0,0.19548881371305246,24,535.0
65.0,26,661.0,15.022727272727273,3.633750873477084,26,661.0,0.1403574883778575,26,661.0
70.0,23,523.0,12.162790697674419,3.058717794186894,23,695.0,0.14522692490008834,23,695.0
75.0,17,347.0,7.081632653061225,4.07145503533442,17,625.0,0.19346226656521442,17,625.0
80.0,14,356.0,6.716981132075472,5.887343115784043,14,503.0,0.306646649273893,14,503.0
85.0,19,431.0,7.981481481481482,6.710092124226457,19,480.0,0.3711899867497367,19,480.0
90.0,20,519.0,9.98076923076923,5.674404089875656,20,519.0,0.2400044702574749,20,519.0
95.0,25,640.0,13.061224489795919,5.436450945987613,25,640.0,0.19658275365819794,25,640.0
100.0,30,767.0,15.34,3.9845358486211886,30,767.0,0.12278736337351237,30,767.0
105.0,29,911.0,18.979166666666668,4.009484233014756,29,911.0,0.1605376629360117,29,911.0
110.0,32,1063.0,21.26,2.7929409836772727,32,1063.0,0.11931507825147783,32,1063.0
