step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,
5.0,0,0.0,0.0,5.334191875128698,0,0.0,0.3948649026362891,0,0.0,False,
10.0,0,0.0,0.0,11.828224747808353,0,0.0,0.8893545039794226,0,0.0,False,
15.0,0,0.0,0.0,8.44000052718059,0,0.0,0.6168571101049217,0,0.0,False,
20.0,8,20.0,0.8333333333333334,6.154433187680489,8,20.0,0.34965126561023513,8,20.0,False,
25.0,10,40.0,1.4814814814814814,6.047494083172594,10,48.0,0.36965187273043637,10,48.0,False,
30.0,10,76.0,2.7142857142857144,5.876003569212593,10,76.0,0.2887768685885694,10,76.0,False,
35.0,12,122.0,4.357142857142857,5.748182961479381,12,126.0,0.3144808313985729,12,126.0,False,
40.0,16,182.0,5.055555555555555,5.026836144331574,16,182.0,0.2496994129625561,16,182.0,False,
45.0,16,254.0,6.684210526315789,6.714227218358784,16,254.0,0.35852332623130995,16,254.0,False,
50.0,17,335.0,9.054054054054054,5.021709726475396,17,335.0,0.30170894592511377,17,335.0,False,
55.0,25,430.0,10.75,2.75483468561042,25,430.0,0.16130650274833605,25,430.0,False,
60.0,25,552.0,13.8,4.111887267937801,25,552.0,0.1901022770626117,25,552.0,False,
65.0,24,657.0,14.6,3.2939300840518544,24,664.0,0.1434384986666684,24,664.0,False,
70.0,32,801.0,18.627906976744185,2.215076384189378,32,801.0,0.10769426886920723,32,801.0,False,
75.0,28,655.0,12.843137254901961,2.2768168271415785,28,849.0,0.10924239282739118,28,849.0,False,
80.0,24,455.0,8.425925925925926,4.194439989700732,24,782.0,0.2277278123436286,24,782.0,False,
85.0,22,449.0,7.741379310344827,5.262877627826213,22,666.0,0.259330102978873,22,666.0,False,
90.0,22,540.0,9.473684210526315,5.189620604909649,22,638.0,0.22102513651479583,22,638.0,False,
95.0,26,666.0,11.68421052631579,5.484881935427309,26,686.0,0.2551961050130294,26,686.0,False,
100.0,31,803.0,14.087719298245615,4.714481904533513,31,803.0,0.1732509593802988,31,803.0,False,
105.0,26,743.0,13.75925925925926,4.1633251441792805,26,870.0,0.16969857011934017,26,870.0,False,
110.0,22,695.0,12.87037037037037,3.898952542198412,22,863.0,0.13639408730725788,22,863.0,False,
115.0,24,711.0,12.258620689655173,4.062745967306583,24,929.0,0.20180727996503145,24,929.0,False,
120.0,31,842.0,15.592592592592593,4.065433837437784,31,1018.0,0.20962921456433573,31,1018.0,False,
125.0,33,947.0,16.32758620689655,2.5715922559901254,33,1106.0,0.1187390223154279,33,1106.0,False,
130.0,33,1052.0,18.137931034482758,3.330381562529774,33,1163.0,0.15737762176335426,33,1163.0,False,
135.0,32,1189.0,19.491803278688526,4.44369510844327,32,1226.0,0.17553470248558883,32,1226.0,False,
140.0,34,1305.0,21.39344262295082,3.4735501414110397,34,1362.0,0.14889189144642162,34,1362.0,False,
145.0,48,1492.0,23.3125,1.9826172076710227,48,1529.0,0.059328617831955574,48,1529.0,False,
150.0,44,1464.0,22.181818181818183,2.5723422829663156,44,1658.0,0.12446000291483066,44,1658.0,False,
155.0,34,1412.0,22.0625,3.559648140247329,34,1691.0,0.18704662113096132,34,1691.0,False,
160.0,37,1543.0,22.042857142857144,3.516040237870232,37,1693.0,0.12130104738290884,37,1693.0,False,
165.0,40,1736.0,24.8,4.3258504472999295,40,1805.0,0.1733213273113929,40,1805.0,False,
170.0,38,1766.0,25.594202898550726,2.9258920376897333,38,1917.0,0.10533040930194323,38,1917.0,False,
175.0,38,1717.0,25.25,3.4348488415032006,38,1969.0,0.13707455249694933,38,1969.0,False,
180.0,33,1821.0,28.453125,3.9304298438710097,33,1987.0,0.12654733551428213,33,1987.0,False,
185.0,36,1997.0,28.12676056338028,4.521072439673161,36,2050.0,0.18517189600223796,36,2050.0,False,
190.0,38,2183.0,32.10294117647059,4.884613222315591,38,2203.0,0.23224919176629868,38,2203.0,False,
195.0,42,2386.0,35.61194029850746,3.729720150618028,42,2406.0,0.11582645554324227,42,2406.0,False,
200.0,42,1616.0,23.764705882352942,2.949192570965922,42,2258.0,0.11044005973639676,42,2258.0,False,
205.0,40,838.0,12.696969696969697,3.376815067898248,40,1827.0,0.15168482637736966,40,1827.0,False,
210.0,34,810.0,12.272727272727273,3.7327084412173406,34,1310.0,0.14283964122503343,34,1310.0,False,
215.0,36,987.0,15.421875,3.9950162964400455,36,1202.0,0.18362086968941826,36,1202.0,False,
220.0,41,1103.0,15.319444444444445,2.7795852364885736,41,1255.0,0.10282431170509328,41,1255.0,False,
225.0,40,1289.0,18.955882352941178,4.397099751155022,40,1408.0,0.19839256893647042,40,1408.0,False,
230.0,39,1155.0,17.238805970149254,3.1811566068011805,39,1469.0,0.10931310706190149,39,1469.0,False,
235.0,45,1286.0,18.63768115942029,3.1221335606465446,45,1468.0,0.0974579843945215,45,1468.0,False,
240.0,43,1102.0,16.696969696969695,3.2533805456935965,43,1468.0,0.1104551302818543,43,1468.0,False,
245.0,39,707.0,10.552238805970148,2.9687557743829798,39,1334.0,0.10138389946433096,39,1334.0,False,
250.0,36,541.0,8.196969696969697,3.9971750532262202,36,1202.0,0.14482141961971975,36,1202.0,False,
255.0,29,537.0,7.897058823529412,4.148052087246191,29,1100.0,0.16363764736247602,29,1100.0,False,
260.0,28,641.0,9.712121212121213,5.737405305912757,28,1031.0,0.3104688317627583,28,1031.0,False,
265.0,31,781.0,11.318840579710145,5.188639759283637,31,1004.0,0.2530418686393177,31,1004.0,False,
270.0,37,952.0,14.0,4.508793710949351,37,1101.0,0.18687806981939953,37,1101.0,False,
275.0,34,885.0,13.615384615384615,3.5690489191630133,34,1180.0,0.1425731037801258,34,1180.0,False,
280.0,36,828.0,12.35820895522388,3.3856836639165757,36,1184.0,0.13311845367228373,36,1184.0,False,
285.0,30,922.0,14.40625,4.698510508312191,30,1173.0,0.1852830672229833,30,1173.0,False,
290.0,29,838.0,12.507462686567164,3.363577358352932,29,1227.0,0.14417680261358018,29,1227.0,False,
295.0,38,963.0,14.161764705882353,3.598485214970443,38,1233.0,0.16146361327423236,38,1233.0,False,
300.0,43,1167.0,17.681818181818183,3.2791802939517787,43,1417.0,0.13203761405924583,43,1417.0,False,
305.0,48,1328.0,20.12121212121212,1.4834233286165694,48,1584.0,0.06736658046942676,48,1584.0,False,
310.0,42,1459.0,21.455882352941178,2.52553947816727,42,1702.0,0.11570101986483178,42,1702.0,False,
315.0,42,1656.0,23.0,3.6580141844444487,42,1831.0,0.12300558870492412,42,1831.0,False,
320.0,41,1615.0,22.746478873239436,2.950205618320633,41,1935.0,0.12540094217125064,41,1935.0,False,
325.0,48,1463.0,19.77027027027027,2.3579250855966323,48,1916.0,0.08241372727691743,48,1916.0,False,
330.0,40,1510.0,19.86842105263158,4.036636721795806,40,1925.0,0.17737908448098139,40,1925.0,False,
335.0,36,1668.0,22.54054054054054,4.761722866665667,36,1932.0,0.2243704364623162,36,1932.0,False,
340.0,43,1866.0,25.216216216216218,3.7054562520400594,43,2056.0,0.17475404960358282,43,2056.0,False,
345.0,47,2091.0,27.88,3.750762088849932,47,2230.0,0.13791666349804402,47,2230.0,False,
350.0,44,1553.0,21.273972602739725,2.589427045118893,44,2138.0,0.08624382262985232,44,2138.0,False,
355.0,44,974.0,13.527777777777779,3.1549544063801678,44,1810.0,0.12462349472773238,44,1810.0,False,
360.0,37,766.0,11.264705882352942,2.7277421602856333,37,1793.0,0.10694051938271867,37,1793.0,False,
365.0,36,615.0,8.092105263157896,3.1270783889403826,36,1802.0,0.1456038501350479,36,1802.0,False,
370.0,37,649.0,8.653333333333334,4.081382220636329,37,1770.0,0.1824783392720768,37,1770.0,False,
375.0,38,807.0,10.76,3.992562249456718,38,1828.0,0.16988861611154968,38,1828.0,False,
380.0,38,639.0,8.407894736842104,3.6529668669325153,38,1831.0,0.16609414095757793,38,1831.0,False,
385.0,45,734.0,9.786666666666667,3.065849146420257,45,1805.0,0.12376098257332606,45,1805.0,False,
390.0,48,962.0,13.178082191780822,2.68551877128723,48,1934.0,0.06089688132957912,48,1934.0,False,
395.0,49,966.0,13.605633802816902,2.49507873656764,49,2107.0,0.08038415696455102,49,2107.0,False,
400.0,49,914.0,11.569620253164556,2.5983737100276896,49,2169.0,0.08735219660386813,49,2169.0,False,
405.0,39,1050.0,13.636363636363637,3.993697851913438,39,2177.0,0.17415522495153085,39,2177.0,False,
410.0,44,1259.0,16.56578947368421,3.7841356245107174,44,2304.0,0.17213327103664774,44,2304.0,False,
415.0,45,1289.0,16.74025974025974,3.0075215646518902,45,2389.0,0.12373597282650604,45,2389.0,False,
420.0,43,1210.0,16.575342465753426,3.0256321651734277,43,2380.0,0.08847729760427746,43,2380.0,False,
425.0,41,1262.0,16.826666666666668,3.6471837249562773,41,2427.0,0.13553701982593058,41,2427.0,False,
430.0,41,1443.0,20.041666666666668,3.905387028997556,41,2492.0,0.15393451728627902,41,2492.0,False,
435.0,43,1652.0,22.324324324324323,4.007364128864751,43,2603.0,0.18481926858355807,43,2603.0,False,
440.0,45,1871.0,24.61842105263158,4.336665934622745,45,2766.0,0.19724801687516147,45,2766.0,False,
445.0,49,1594.0,20.973684210526315,3.37691149579193,49,2601.0,0.145989344516989,49,2601.0,False,
450.0,41,1006.0,14.169014084507042,2.5915830626883514,41,2139.0,0.09522416910584539,41,2139.0,False,
455.0,39,857.0,11.902777777777779,3.5611249360517294,39,1594.0,0.15927826890615146,39,1594.0,False,
460.0,39,835.0,10.844155844155845,3.0688644623211534,39,1692.0,0.12576475525707256,39,1692.0,False,
465.0,46,1021.0,13.986301369863014,2.8931897545258813,46,1771.0,0.07697256331152764,46,1771.0,False,
470.0,45,939.0,12.355263157894736,2.2172792894504014,45,1871.0,0.050746064419519205,45,1871.0,False,
475.0,46,694.0,8.897435897435898,3.1988320793296063,46,1876.0,0.13352925682344766,46,1876.0,False,
480.0,38,636.0,8.594594594594595,3.6961955231450383,38,1777.0,0.14785082339904337,38,1777.0,False,
485.0,37,728.0,9.454545454545455,3.8614346700148423,37,1756.0,0.15138213189753574,37,1756.0,False,
490.0,40,923.0,12.306666666666667,4.440657133633215,40,1794.0,0.19151094211069628,40,1794.0,False,
495.0,44,1134.0,15.324324324324325,4.184457613578281,44,1887.0,0.17280818500456324,44,1887.0,False,
500.0,39,1040.0,14.444444444444445,3.4531241473026886,39,1981.0,0.15534494629759008,39,1981.0,False,
505.0,44,873.0,11.797297297297296,2.615481313104006,44,1971.0,0.082285675743969,44,1971.0,False,
510.0,37,925.0,12.333333333333334,3.995248985116203,37,1921.0,0.1691080474116446,37,1921.0,False,
515.0,36,1083.0,14.835616438356164,4.716209127972945,36,1940.0,0.20442982469100232,36,1940.0,False,
520.0,41,1274.0,17.216216216216218,4.166755842436062,41,2061.0,0.17708006283753464,41,2061.0,False,
525.0,42,1331.0,18.232876712328768,3.260928097391981,42,2197.0,0.1326849978085781,42,2197.0,False,
530.0,48,1550.0,21.830985915492956,2.407134327561115,48,2339.0,0.08758387155355889,48,2339.0,False,
535.0,51,1619.0,22.17808219178082,2.339314449231941,51,2510.0,0.07463824294693999,51,2510.0,False,
540.0,42,1596.0,23.470588235294116,2.727037768908587,42,2576.0,0.09948469497021352,42,2576.0,False,
545.0,40,1738.0,22.28205128205128,3.5223759297772372,40,2638.0,0.14222562974531283,40,2638.0,False,
550.0,42,1944.0,25.57894736842105,4.471814219021052,42,2728.0,0.20615565861590568,42,2728.0,False,
555.0,47,2168.0,28.526315789473685,3.8024777241824133,47,2925.0,0.15408364040339276,47,2925.0,False,
560.0,50,2412.0,32.5945945945946,3.301827097881094,50,3166.0,0.10333216194555458,50,3166.0,False,
565.0,51,2044.0,27.253333333333334,2.43554808600536,51,3021.0,0.07387984370839971,51,3021.0,False,
570.0,42,1290.0,17.916666666666668,3.396344032564892,42,2379.0,0.13201057328254653,42,2379.0,False,
575.0,36,1037.0,14.814285714285715,3.625236240165732,36,1924.0,0.13590642063188937,36,1924.0,False,
580.0,38,869.0,11.14102564102564,3.313722531541565,38,1864.0,0.15223983031509025,38,1864.0,False,
585.0,34,561.0,7.581081081081081,3.7076881564205966,34,1800.0,0.18345162294889664,34,1800.0,False,
590.0,36,490.0,6.533333333333333,3.613194612365712,36,1672.0,0.1360574746254044,36,1672.0,False,
595.0,42,563.0,7.311688311688312,3.834373040335942,42,1654.0,0.13251272852870982,42,1654.0,False,
600.0,38,737.0,10.528571428571428,4.36790578214107,38,1677.0,0.19179673068154426,38,1677.0,False,
605.0,40,934.0,13.154929577464788,4.461201454115759,40,1754.0,0.17739319352678082,40,1754.0,False,
610.0,40,842.0,12.382352941176471,3.4359312287387844,40,1829.0,0.14763513684160157,40,1829.0,False,
615.0,44,995.0,14.214285714285714,2.3875675973580996,44,1864.0,0.09629033364331861,44,1864.0,False,
620.0,47,956.0,12.746666666666666,3.0292001831060453,47,2000.0,0.14820692328117413,47,2000.0,False,
625.0,46,887.0,11.986486486486486,2.7048804379779843,46,2043.0,0.13243042348535397,46,2043.0,False,
630.0,44,1028.0,13.706666666666667,3.2223384034640854,44,2057.0,0.11901600412770628,44,2057.0,False,
635.0,44,1244.0,16.36842105263158,3.8773358879594526,44,2189.0,0.1755203989884857,44,2189.0,False,
640.0,49,1472.0,19.116883116883116,3.565593379164752,49,2349.0,0.13122115372964765,49,2349.0,False,
645.0,46,1341.0,18.36986301369863,2.864196501170636,46,2261.0,0.09956623538576177,46,2261.0,False,
650.0,43,970.0,12.933333333333334,2.6130815411878103,43,1805.0,0.07741666848026464,43,1805.0,False,
655.0,37,749.0,9.602564102564102,3.7147927904814506,37,1769.0,0.18209793911408015,37,1769.0,False,
660.0,35,581.0,7.746666666666667,3.738947347528162,35,1747.0,0.16320693218427412,35,1747.0,False,
665.0,39,560.0,7.368421052631579,3.394058869726863,39,1688.0,0.10844496050309659,39,1688.0,False,
670.0,41,713.0,9.381578947368421,4.180659975120515,41,1698.0,0.15206041671519308,41,1698.0,False,
675.0,36,609.0,8.342465753424657,3.586597280062419,36,1750.0,0.17916443308908425,36,1750.0,False,
680.0,42,707.0,9.819444444444445,2.9991995558469267,42,1686.0,0.13147197261123095,42,1686.0,False,
