step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,6.243808629728544,0,0.0,0.4582214417586663,0,0.0,False,,
10.0,0,0.0,0.0,11.749503601308165,0,0.0,0.8555025460058384,0,0.0,False,,
15.0,0,0.0,0.0,8.199767351674394,0,0.0,0.5490358779446047,0,0.0,False,,
20.0,6,20.0,0.8333333333333334,5.536651544771227,6,20.0,0.276915918211933,6,20.0,False,,
25.0,14,70.0,2.5,6.021262607410037,14,70.0,0.3219089560849448,14,70.0,False,,
30.0,12,124.0,4.428571428571429,5.696217107922315,12,124.0,0.28726938355386206,12,124.0,False,,
35.0,10,118.0,4.37037037037037,5.073370583108982,10,156.0,0.3177417694007116,10,156.0,False,,
40.0,13,153.0,3.923076923076923,5.38049181637759,13,163.0,0.2740973003113082,13,163.0,False,,
45.0,11,206.0,5.282051282051282,7.648803415944674,11,206.0,0.40391397664585266,11,206.0,False,,
50.0,13,268.0,7.052631578947368,5.960619194585521,13,268.0,0.3194071526721528,13,268.0,False,,
55.0,23,351.0,9.0,3.6397409440274773,23,351.0,0.17829418516432924,23,351.0,False,,
60.0,23,460.0,12.777777777777779,3.9552598784986484,23,460.0,0.237560957625193,23,460.0,False,,
65.0,25,579.0,14.475,3.5555616035085564,25,579.0,0.20833148800013018,25,579.0,False,,
70.0,21,549.0,13.390243902439025,3.5343787830324724,21,638.0,0.18513014045017998,21,638.0,False,,
75.0,17,571.0,12.148936170212766,4.381772155353518,17,642.0,0.2146551303236824,17,642.0,False,,
80.0,16,368.0,7.076923076923077,5.105620835976241,16,608.0,0.27205487019871616,16,608.0,False,,
85.0,25,417.0,8.01923076923077,4.350717086406293,25,537.0,0.2180554759803894,25,537.0,False,,
90.0,30,553.0,10.634615384615385,4.036656579675796,30,624.0,0.11467577587324003,30,624.0,False,,
95.0,28,620.0,11.923076923076923,4.0693089016848125,28,741.0,0.16542197544770035,28,741.0,False,,
100.0,29,740.0,13.962264150943396,3.7235098163496896,29,825.0,0.151307687435983,29,825.0,False,,
105.0,30,882.0,16.96153846153846,4.433195465457632,30,953.0,0.14188592107016734,30,953.0,False,,
110.0,28,855.0,15.267857142857142,3.4230647667975225,28,1009.0,0.12442322439638259,28,1009.0,False,,
115.0,24,730.0,13.035714285714286,4.531920765538105,24,982.0,0.2386595791512378,24,982.0,False,,
120.0,17,754.0,13.962962962962964,6.085874885082658,17,913.0,0.2972319114361353,17,913.0,False,,
125.0,22,851.0,14.929824561403509,5.313465367726273,22,903.0,0.22486557346143016,22,903.0,False,,
130.0,28,981.0,17.836363636363636,5.411398117943735,28,988.0,0.24866721347798829,28,988.0,False,,
135.0,28,1118.0,20.703703703703702,4.5827177381456625,28,1118.0,0.16943991579865664,28,1118.0,False,,
140.0,26,1115.0,21.442307692307693,3.9874183054914196,26,1206.0,0.1735542725218405,26,1206.0,False,,
145.0,30,1159.0,21.072727272727274,4.069906122529297,30,1218.0,0.1632387396050309,30,1218.0,False,,
150.0,25,1277.0,22.803571428571427,5.623202893037202,25,1284.0,0.2537199368616514,25,1284.0,False,,
155.0,24,1289.0,24.78846153846154,4.7760354679678345,24,1347.0,0.2599850018550859,24,1347.0,False,,
