step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,
5.0,0,0.0,0.0,5.370019105107835,0,0.0,0.3859245665671563,0,0.0,False,
10.0,0,0.0,0.0,11.62719246007424,0,0.0,0.825715220322626,0,0.0,False,
15.0,0,0.0,0.0,8.968806167724773,0,0.0,0.623253335762835,0,0.0,False,
20.0,6,19.0,0.7916666666666666,5.737351556013292,6,19.0,0.32097886397671255,6,19.0,False,
25.0,10,38.0,1.4074074074074074,6.062963678891467,10,42.0,0.3995044465793908,10,42.0,False,
30.0,10,75.0,2.6785714285714284,6.329260322190235,10,75.0,0.3552772046824868,10,75.0,False,
35.0,11,117.0,4.178571428571429,5.718160879588548,11,120.0,0.3217754084391077,11,120.0,False,
40.0,18,179.0,4.972222222222222,4.821000735249141,18,179.0,0.2486164673130244,18,179.0,False,
45.0,19,256.0,6.7368421052631575,5.62581963416401,19,256.0,0.32406498759648406,19,256.0,False,
50.0,19,351.0,9.486486486486486,4.064101097097568,19,351.0,0.2708840516995037,19,351.0,False,
55.0,24,423.0,9.837209302325581,2.649646403711099,24,434.0,0.12938404514282156,24,434.0,False,
60.0,24,539.0,12.534883720930232,4.643665043509142,24,539.0,0.20469072816324127,24,539.0,False,
65.0,26,669.0,14.23404255319149,4.428419253967993,26,669.0,0.14239471001265117,26,669.0,False,
70.0,24,523.0,11.886363636363637,3.6142290373316373,24,698.0,0.1374941031409559,24,698.0,False,
75.0,16,347.0,7.382978723404255,3.7943607141680147,16,623.0,0.19279893573312737,16,623.0,False,
80.0,14,350.0,6.730769230769231,5.9892854436346346,14,553.0,0.3158313213817651,14,553.0,False,
85.0,18,420.0,8.076923076923077,6.706517226997036,18,485.0,0.373298708133646,18,485.0,False,
90.0,20,505.0,10.1,5.835753814020155,20,507.0,0.25686405386366434,20,507.0,False,
95.0,24,621.0,12.9375,5.747015329269957,24,621.0,0.24593070556866603,24,621.0,False,
100.0,28,745.0,14.9,4.294341467731604,28,745.0,0.1411020625623608,28,745.0,False,
105.0,28,883.0,18.78723404255319,4.114096986149662,28,883.0,0.17519365071393733,28,883.0,False,
110.0,30,1029.0,20.58,2.805615153820314,30,1029.0,0.12846967401942874,30,1029.0,False,
115.0,36,1196.0,22.14814814814815,3.5930600463364644,36,1196.0,0.20055198215189107,36,1196.0,False,
120.0,30,1136.0,21.846153846153847,3.272380171436495,30,1276.0,0.20053080173559176,30,1276.0,False,
125.0,30,1083.0,19.339285714285715,2.9064385615100243,30,1282.0,0.13492961425471572,30,1282.0,False,
130.0,30,1211.0,20.183333333333334,4.542219683081154,30,1278.0,0.183258405642074,30,1278.0,False,
135.0,26,1026.0,17.1,4.1552342576104815,26,1267.0,0.18990616818501566,26,1267.0,False,
140.0,30,1121.0,19.32758620689655,3.5248563030277147,30,1232.0,0.15137505565523893,30,1232.0,False,
145.0,43,1252.0,19.5625,2.4877041342221204,43,1351.0,0.07629128659849578,43,1351.0,False,
150.0,31,1384.0,21.29230769230769,3.760611198695443,31,1454.0,0.177259432130926,31,1454.0,False,
155.0,33,1547.0,24.555555555555557,4.644937731864465,33,1589.0,0.2206125063955805,33,1589.0,False,
160.0,38,1675.0,25.76923076923077,3.2877311853038313,38,1706.0,0.1360796473804598,38,1706.0,False,
165.0,44,1872.0,28.8,3.3367401386568973,44,1878.0,0.108020086962439,44,1878.0,False,
170.0,40,1817.0,27.953846153846154,2.7955695304392587,40,1992.0,0.10790159727504131,40,1992.0,False,
175.0,39,1746.0,26.861538461538462,3.1543533111542494,39,1976.0,0.11759118285202272,39,1976.0,False,
180.0,32,1864.0,30.06451612903226,4.2172747073012475,32,1995.0,0.150332713200982,32,1995.0,False,
185.0,36,2035.0,29.926470588235293,4.330927005770142,36,2077.0,0.18131535309427188,36,2077.0,False,
190.0,36,2215.0,33.56060606060606,5.068392717201131,36,2221.0,0.24283245721588098,36,2221.0,False,
195.0,38,2400.0,36.36363636363637,3.7193925299227244,38,2406.0,0.1340541917807991,38,2406.0,False,
200.0,37,2375.0,35.984848484848484,3.5002553872800704,37,2521.0,0.1410278785451,37,2521.0,False,
205.0,37,2272.0,34.42424242424242,3.2626327489948665,37,2548.0,0.1174830989390403,37,2548.0,False,
210.0,30,2366.0,36.96875,4.746705779308185,30,2513.0,0.19019660378354455,30,2513.0,False,
215.0,34,2529.0,41.459016393442624,5.079702124374784,34,2565.0,0.19238042115720544,34,2565.0,False,
