step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,6.152671565922598,0,0.0,0.4635194508800958,0,0.0,False,,
10.0,0,0.0,0.0,11.651722288512243,0,0.0,0.8635189694748382,0,0.0,False,,
15.0,0,0.0,0.0,7.816381844356428,0,0.0,0.5592599477756779,0,0.0,False,,
20.0,6,14.0,0.5833333333333334,4.581202926865109,6,14.0,0.2888693776888496,6,14.0,False,,
25.0,16,71.0,2.5357142857142856,5.0629214450842115,16,71.0,0.325570207334292,16,71.0,False,,
30.0,16,138.0,4.928571428571429,3.474298028907743,16,138.0,0.2479275357326342,16,138.0,False,,
35.0,20,226.0,7.533333333333333,3.8785760824687174,20,226.0,0.23379195118020862,20,226.0,False,,
40.0,26,330.0,7.857142857142857,2.403763537706681,26,330.0,0.13558986788715527,26,330.0,False,,
45.0,21,318.0,7.571428571428571,4.205464225078605,21,396.0,0.2909906361559479,21,396.0,False,,
50.0,18,354.0,7.695652173913044,4.596432630281618,18,405.0,0.24355517204719934,18,405.0,False,,
55.0,28,459.0,8.826923076923077,4.738408607351026,28,459.0,0.15369564039033481,28,459.0,False,,
60.0,28,591.0,12.3125,5.369977290921515,28,591.0,0.18569706976101305,28,591.0,False,,
65.0,28,731.0,15.553191489361701,3.8516221380599087,28,731.0,0.11314012591342114,28,731.0,False,,
70.0,30,881.0,20.022727272727273,3.1480547100276683,30,881.0,0.1535288018160699,30,881.0,False,,
75.0,34,1041.0,20.82,2.344528234304529,34,1041.0,0.10257817071483115,34,1041.0,False,,
80.0,36,1217.0,22.537037037037038,3.189693602321548,36,1217.0,0.17721693228998003,36,1217.0,False,,
85.0,42,1401.0,24.155172413793103,2.8843866381747163,42,1401.0,0.15839465699305086,42,1401.0,False,,
90.0,46,1613.0,28.803571428571427,1.592295005839063,46,1613.0,0.05745767052082486,46,1613.0,False,,
95.0,48,1849.0,30.816666666666666,2.1846288094147748,48,1849.0,0.10251542735138078,48,1849.0,False,,
100.0,52,2095.0,32.23076923076923,2.169478742220206,52,2095.0,0.08975588743212272,52,2095.0,False,,
105.0,53,2350.0,36.71875,1.6450120948747704,53,2350.0,0.06447797975277426,53,2350.0,False,,
110.0,50,2098.0,29.13888888888889,1.7521361681241727,50,2432.0,0.06995563174870348,50,2432.0,False,,
115.0,44,1659.0,22.726027397260275,2.9169259612079865,44,2333.0,0.13521729594233103,44,2333.0,False,,
120.0,38,1475.0,20.48611111111111,4.123152678508295,38,2113.0,0.17529593781676794,38,2113.0,False,,
125.0,32,829.0,11.51388888888889,2.8363391290564266,32,2077.0,0.11653105049122331,32,2077.0,False,,
130.0,26,538.0,7.685714285714286,3.9517203253034876,26,1864.0,0.20128420965238966,26,1864.0,False,,
