step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,
5.0,0,0.0,0.0,5.703927161878286,0,0.0,0.4102427347991835,0,0.0,False,
10.0,0,0.0,0.0,11.462012593354142,0,0.0,0.838402123332852,0,0.0,False,
15.0,0,0.0,0.0,8.286876318692423,0,0.0,0.5672626610973317,0,0.0,False,
20.0,7,23.0,0.9583333333333334,5.83682179929153,7,23.0,0.3361218927122759,7,23.0,False,
25.0,10,39.0,1.3928571428571428,6.142897188975242,10,45.0,0.3699496963804698,10,45.0,False,
30.0,10,79.0,2.8214285714285716,6.314332326521756,10,79.0,0.33119363047853106,10,79.0,False,
35.0,12,123.0,4.392857142857143,5.908803601872799,12,124.0,0.32088807470053465,12,124.0,False,
40.0,18,187.0,5.194444444444445,4.942629663835026,18,187.0,0.24327111360532327,18,187.0,False,
45.0,17,263.0,7.108108108108108,6.195974606434162,17,263.0,0.38229074400760943,17,263.0,False,
50.0,19,350.0,9.45945945945946,4.350585835263206,19,350.0,0.278953322440035,19,350.0,False,
55.0,24,439.0,10.707317073170731,2.7962141896754047,24,439.0,0.14736289250407056,24,439.0,False,
60.0,24,555.0,13.536585365853659,4.4744570707515985,24,555.0,0.19395027420829852,24,555.0,False,
65.0,26,683.0,15.177777777777777,4.0902891234566665,26,683.0,0.1266880024918494,26,683.0,False,
70.0,24,537.0,12.204545454545455,3.719986371835679,24,713.0,0.14553589931936983,24,713.0,False,
75.0,16,351.0,7.468085106382978,4.306598042156213,16,635.0,0.20215542582838783,16,635.0,False,
80.0,13,357.0,6.865384615384615,6.371531386426175,13,505.0,0.3176118671825107,13,505.0,False,
85.0,18,427.0,8.056603773584905,6.646850838233201,18,475.0,0.33740113376218095,18,475.0,False,
90.0,21,513.0,10.46938775510204,5.816632303847776,21,515.0,0.2501210997659371,21,515.0,False,
95.0,24,629.0,13.104166666666666,5.760237089008947,24,629.0,0.20515216519250773,24,629.0,False,
100.0,28,752.0,15.346938775510203,4.200249038460849,28,752.0,0.13710879970496528,28,752.0,False,
105.0,28,891.0,19.8,4.05477406979889,28,891.0,0.17085218698448407,28,891.0,False,
110.0,31,1038.0,20.76,2.7979585100995115,31,1038.0,0.12872115918206137,31,1038.0,False,
115.0,36,1202.0,22.67924528301887,3.5053671998389673,36,1202.0,0.2038763997196054,36,1202.0,False,
120.0,29,1139.0,21.903846153846153,3.4009021120033847,29,1279.0,0.18902639075194272,29,1279.0,False,
125.0,26,1077.0,19.232142857142858,3.423684679022775,26,1274.0,0.14653320213174106,26,1274.0,False,
130.0,23,897.0,15.203389830508474,4.053199668912314,23,1229.0,0.17713007785428514,23,1229.0,False,
135.0,27,996.0,17.17241379310345,3.84959296578922,27,1190.0,0.16302424991935835,27,1190.0,False,
140.0,31,1099.0,18.316666666666666,3.202906568916823,31,1269.0,0.1281181056086968,31,1269.0,False,
145.0,38,1216.0,19.612903225806452,2.5283622414359654,38,1305.0,0.08811931296670544,38,1305.0,False,
150.0,30,1360.0,20.923076923076923,4.706148268996527,30,1403.0,0.22294852833293158,30,1403.0,False,
155.0,32,1516.0,24.451612903225808,5.413706044846135,32,1534.0,0.25868022313223915,32,1534.0,False,
160.0,36,1626.0,25.80952380952381,3.446732412376516,36,1650.0,0.1329953466948561,36,1650.0,False,
165.0,42,1815.0,30.25,3.011594180077635,42,1816.0,0.12502353582627243,42,1816.0,False,
170.0,39,1782.0,28.285714285714285,2.9154078576825997,39,1932.0,0.12446050811608377,39,1932.0,False,
175.0,38,1734.0,27.967741935483872,2.8596394128977147,38,1965.0,0.11720504663451377,38,1965.0,False,
180.0,32,1863.0,30.540983606557376,4.270284555146626,32,1964.0,0.17513123749403867,32,1964.0,False,
185.0,35,2031.0,29.434782608695652,4.127559404310133,35,2061.0,0.18492977561241103,35,2061.0,False,
190.0,36,2210.0,32.985074626865675,4.964644036832113,36,2211.0,0.24348993796080734,36,2211.0,False,
195.0,40,2400.0,36.36363636363637,3.5704992434821072,40,2401.0,0.1301802681334485,40,2401.0,False,
200.0,40,1620.0,23.823529411764707,3.0622985862342325,40,2245.0,0.12373413959572477,40,2245.0,False,
205.0,39,828.0,12.545454545454545,3.0571641023300464,39,1805.0,0.12133376308590331,39,1805.0,False,
210.0,33,804.0,12.36923076923077,4.28525386540511,33,1289.0,0.16873435642520498,33,1289.0,False,
215.0,31,654.0,10.380952380952381,3.248497349632609,31,1342.0,0.13589410393069676,31,1342.0,False,
220.0,36,421.0,5.929577464788732,3.061676719661489,36,1298.0,0.1250731084022096,36,1298.0,False,
225.0,27,404.0,5.855072463768116,4.903687227205371,27,1186.0,0.22460902012266085,27,1186.0,False,
230.0,28,338.0,4.898550724637682,3.997534562247485,28,1201.0,0.18631000389118976,28,1201.0,False,
235.0,39,500.0,7.352941176470588,3.0851469370090294,39,1274.0,0.14069281476650916,39,1274.0,False,
240.0,38,643.0,9.742424242424242,2.756575468468333,38,1382.0,0.09377313021320924,38,1382.0,False,
245.0,38,786.0,11.558823529411764,2.91986845502606,38,1419.0,0.09241557857580253,38,1419.0,False,
250.0,37,956.0,14.26865671641791,3.7488605384892226,37,1496.0,0.12609803402241676,37,1496.0,False,
255.0,36,856.0,12.228571428571428,3.0098751475256,36,1577.0,0.12876496224225026,36,1577.0,False,
260.0,33,734.0,10.194444444444445,3.7921757247272887,33,1525.0,0.1898161371887954,33,1525.0,False,
265.0,37,815.0,11.164383561643836,3.8033266515038946,37,1530.0,0.1599296244669858,37,1530.0,False,
270.0,39,994.0,13.805555555555555,4.1970440864786,39,1605.0,0.1767770663130367,39,1605.0,False,
275.0,43,1204.0,17.705882352941178,3.852936757614299,43,1757.0,0.15852567697136352,43,1757.0,False,
280.0,48,1426.0,19.534246575342465,3.4526138988142807,48,1966.0,0.09501042359692757,48,1966.0,False,
285.0,41,1478.0,21.420289855072465,3.3430261965732493,41,2111.0,0.12970148398856687,41,2111.0,False,
290.0,38,1427.0,20.681159420289855,3.1711517726480065,38,2140.0,0.10158845621274505,38,2140.0,False,
295.0,35,1481.0,20.28767123287671,4.243776409524017,35,2177.0,0.18430978201934708,35,2177.0,False,
300.0,33,1625.0,23.55072463768116,5.145742866513835,33,2246.0,0.2562310522466439,33,2246.0,False,
305.0,38,1801.0,26.10144927536232,4.537473458454619,38,2322.0,0.2040996359635146,38,2322.0,False,
310.0,43,2007.0,29.514705882352942,4.207410514359898,43,2491.0,0.15984444015502985,43,2491.0,False,
315.0,39,1632.0,24.727272727272727,3.168288070000943,39,2340.0,0.12902424113222363,39,2340.0,False,
320.0,36,922.0,14.40625,3.0964647148754096,36,1778.0,0.12215301051079741,36,1778.0,False,
325.0,39,864.0,12.521739130434783,3.8495281448661056,39,1505.0,0.15500583244857533,39,1505.0,False,
330.0,31,647.0,9.242857142857142,3.5519634124385004,31,1520.0,0.1730232016792691,31,1520.0,False,
335.0,37,683.0,9.898550724637682,3.7563937533109755,37,1465.0,0.17451062510838447,37,1465.0,False,
340.0,47,889.0,12.52112676056338,2.998673316234403,47,1530.0,0.08693342538457269,47,1530.0,False,
345.0,46,803.0,11.309859154929578,2.5726217302975956,46,1649.0,0.08504075622135876,46,1649.0,False,
350.0,41,658.0,9.53623188405797,2.3694688758341584,41,1660.0,0.09585920172379485,41,1660.0,False,
355.0,41,737.0,10.23611111111111,3.390684413012178,41,1615.0,0.11138466100873239,41,1615.0,False,
360.0,38,907.0,13.338235294117647,4.076831388421184,38,1663.0,0.1442992643795206,38,1663.0,False,
365.0,41,1105.0,14.733333333333333,4.175511117416035,41,1781.0,0.17660316964223408,41,1781.0,False,
370.0,36,1013.0,14.069444444444445,3.9304660140602232,36,1871.0,0.19782163695654634,36,1871.0,False,
375.0,36,864.0,12.169014084507042,3.3778720953422954,36,1856.0,0.14561875817248365,36,1856.0,False,
380.0,36,945.0,12.945205479452055,3.507573778690102,36,1847.0,0.13774377500453744,36,1847.0,False,
385.0,42,1127.0,15.652777777777779,3.897321245942414,42,1881.0,0.15480831931392366,42,1881.0,False,
390.0,40,1324.0,19.18840579710145,4.0238195872514595,40,2017.0,0.1694855257456376,40,2017.0,False,
395.0,39,1339.0,19.98507462686567,2.999980686069572,39,2122.0,0.11333964380544269,39,2122.0,False,
