step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,7.236770293830586,0,0.0,0.5366488932204313,0,0.0,False,,
10.0,0,0.0,0.0,11.751333875371063,0,0.0,0.8603463232010847,0,0.0,False,,
15.0,0,0.0,0.0,8.296623922193657,0,0.0,0.5551490156941473,0,0.0,False,,
20.0,8,27.0,1.125,6.282333220193052,8,27.0,0.34100287063277923,8,27.0,False,,
25.0,14,71.0,2.6296296296296298,6.126807476638065,14,71.0,0.3683387602675893,14,71.0,False,,
30.0,12,125.0,4.8076923076923075,5.583735592521891,12,125.0,0.318320626802133,12,125.0,False,,
35.0,16,191.0,6.821428571428571,5.112199454045531,16,191.0,0.24753485312632473,16,191.0,False,,
40.0,16,170.0,4.594594594594595,3.7160183908756355,16,222.0,0.2301541451302968,16,222.0,False,,
45.0,10,198.0,5.2105263157894735,6.901596073569157,10,218.0,0.4073041021793911,10,218.0,False,,
50.0,12,258.0,6.142857142857143,6.6325520253719095,12,258.0,0.30424859120334347,12,258.0,False,,
55.0,22,341.0,7.930232558139535,5.170636946082842,22,341.0,0.19751729694395603,22,341.0,False,,
60.0,22,450.0,12.162162162162161,4.900586629767384,22,450.0,0.21982296160527134,22,450.0,False,,
65.0,25,567.0,14.175,2.9419763378849124,25,567.0,0.12831522672860948,25,567.0,False,,
70.0,26,697.0,17.425,3.941461843470395,26,697.0,0.20597252700106458,26,697.0,False,,
75.0,22,657.0,13.97872340425532,3.0837377109246824,22,757.0,0.1630163809550207,22,757.0,False,,
80.0,17,647.0,12.442307692307692,5.447185302876852,17,734.0,0.30399265441620155,17,734.0,False,,
85.0,21,440.0,8.148148148148149,4.7114666089525015,21,690.0,0.24065669580089497,21,690.0,False,,
90.0,24,530.0,10.392156862745098,3.843475561131744,24,630.0,0.16170427697918047,24,630.0,False,,
95.0,33,682.0,12.867924528301886,4.117511019616495,33,769.0,0.16812553725459606,33,769.0,False,,
100.0,39,855.0,15.833333333333334,2.5417447456757145,39,942.0,0.10498160695904286,39,942.0,False,,
105.0,39,1048.0,20.54901960784314,2.130270658912595,39,1135.0,0.0849024862644044,39,1135.0,False,,
110.0,37,1102.0,18.677966101694917,1.6566008746216803,37,1246.0,0.07516182120051389,37,1246.0,False,,
115.0,31,1073.0,17.03174603174603,4.174329502621623,31,1276.0,0.21878029173368885,31,1276.0,False,,
120.0,24,623.0,9.88888888888889,3.781903366222499,24,1177.0,0.17747584106621708,24,1177.0,False,,
125.0,26,479.0,7.484375,3.4123683290779434,26,965.0,0.15273796883090354,26,965.0,False,,
130.0,31,583.0,8.833333333333334,3.081405540034073,31,981.0,0.12240794709353962,31,981.0,False,,
135.0,35,712.0,11.125,2.7238961569299707,35,1044.0,0.11385284816592711,35,1044.0,False,,
140.0,35,880.0,13.134328358208956,4.0293020232915575,35,1116.0,0.1507169799023223,35,1116.0,False,,
145.0,43,696.0,9.942857142857143,2.5143470198760687,43,1161.0,0.0926318870907987,43,1161.0,False,,
150.0,32,449.0,6.414285714285715,3.3539768919171147,32,1096.0,0.14573790530459665,32,1096.0,False,,
155.0,32,416.0,6.028985507246377,4.734451621681313,32,979.0,0.22030840830789575,32,979.0,False,,
160.0,34,524.0,7.380281690140845,3.683801584669946,34,968.0,0.1407933196583348,34,968.0,False,,
165.0,32,594.0,8.366197183098592,4.213751652363974,32,1054.0,0.17761379291796262,32,1054.0,False,,
170.0,30,603.0,8.614285714285714,3.517345676543729,30,1114.0,0.12609253350417665,30,1114.0,False,,
175.0,30,531.0,7.695652173913044,3.4208346326800445,30,1164.0,0.15065633301767076,30,1164.0,False,,
180.0,39,705.0,10.846153846153847,2.816336278065192,39,1248.0,0.09481689181393481,39,1248.0,False,,
185.0,43,870.0,11.756756756756756,2.347633767474987,43,1410.0,0.09423739457904655,43,1410.0,False,,
190.0,41,1032.0,14.535211267605634,3.481547717133093,41,1533.0,0.16890167512576715,41,1533.0,False,,
195.0,39,838.0,11.324324324324325,2.266156386081606,39,1505.0,0.08318840985455139,39,1505.0,False,,
200.0,41,691.0,9.213333333333333,2.530460460574419,41,1354.0,0.11134778243680427,41,1354.0,False,,
205.0,50,688.0,8.820512820512821,2.0083151516072126,50,1453.0,0.0726540626523613,50,1453.0,False,,
210.0,48,595.0,7.933333333333334,2.3171954963089805,48,1472.0,0.09913312679298215,48,1472.0,False,,
215.0,46,598.0,7.868421052631579,3.0118726306356125,46,1450.0,0.08511873501555135,46,1450.0,False,,
220.0,48,720.0,8.470588235294118,3.5479818018073126,48,1482.0,0.11761688578329046,48,1482.0,False,,
225.0,38,737.0,9.098765432098766,4.151150475047938,38,1583.0,0.21584930757784246,38,1583.0,False,,
230.0,38,663.0,8.39240506329114,3.13496597588599,38,1597.0,0.14403354036939275,38,1597.0,False,,
235.0,46,688.0,8.390243902439025,3.2786327619887494,46,1603.0,0.11046179736083044,46,1603.0,False,,
240.0,38,620.0,7.948717948717949,3.313933359097194,38,1579.0,0.14418522997379063,38,1579.0,False,,
245.0,37,602.0,7.818181818181818,3.18971940717914,37,1462.0,0.1586849968233659,37,1462.0,False,,
250.0,48,687.0,9.039473684210526,1.9368928510755061,48,1568.0,0.07517262451410343,48,1568.0,False,,
255.0,50,757.0,9.345679012345679,2.059730326385387,50,1618.0,0.07086865399685577,50,1618.0,False,,
260.0,47,849.0,9.988235294117647,3.504627817433297,47,1665.0,0.1511005327850737,47,1665.0,False,,
265.0,47,896.0,10.418604651162791,2.723694480003235,47,1779.0,0.10684410000084049,47,1779.0,False,,
270.0,43,918.0,11.060240963855422,2.768560615505715,43,1810.0,0.11446011056386445,43,1810.0,False,,
275.0,43,555.0,6.686746987951807,2.1353183650065723,43,1850.0,0.08310217659759671,43,1850.0,False,,
280.0,43,519.0,6.178571428571429,2.3230113085975885,43,1778.0,0.10747030191902084,43,1778.0,False,,
285.0,51,754.0,8.870588235294118,2.4141153020548907,51,1849.0,0.05933418492183059,51,1849.0,False,,
290.0,57,951.0,10.685393258426966,1.6314706469259752,57,2012.0,0.02505768325622956,57,2012.0,False,,
295.0,55,1129.0,12.829545454545455,2.50149071223615,55,2095.0,0.10078441255616188,55,2095.0,False,,
300.0,51,1034.0,12.023255813953488,2.1843144122980163,51,2153.0,0.09515965938374765,51,2153.0,False,,
305.0,45,927.0,10.415730337078651,2.179614541429798,45,2071.0,0.07783498164058368,45,2071.0,False,,
310.0,51,892.0,9.911111111111111,1.852441966743145,51,2173.0,0.06274546926137926,51,2173.0,False,,
315.0,57,763.0,8.477777777777778,1.7897390032661658,57,2133.0,0.061496567483405463,57,2133.0,False,,
320.0,58,761.0,8.455555555555556,2.3588160536798823,58,2200.0,0.07678943733887678,58,2200.0,False,,
325.0,61,828.0,9.0,2.6435784995759386,61,2198.0,0.07610193141452729,61,2198.0,False,,
330.0,49,846.0,9.50561797752809,2.996046169561784,49,2271.0,0.1418932712959629,49,2271.0,False,,
335.0,45,821.0,9.122222222222222,3.4708223168238193,45,2259.0,0.162187291560366,45,2259.0,False,,
340.0,48,850.0,9.770114942528735,3.090405811680433,48,2169.0,0.11484133609213827,48,2169.0,False,,
345.0,43,690.0,7.752808988764045,2.8322490057347935,43,2204.0,0.11012060406168853,43,2204.0,False,,
350.0,41,573.0,6.741176470588235,2.856353026071841,41,2109.0,0.13426937157401528,41,2109.0,False,,
355.0,52,676.0,7.595505617977528,2.1650915577935637,52,2156.0,0.07846971573886265,52,2156.0,False,,
360.0,54,754.0,8.767441860465116,1.7166915782406507,54,2188.0,0.059376178671126,54,2188.0,False,,
365.0,53,886.0,9.229166666666666,2.466245554647477,53,2178.0,0.08948541469140922,53,2178.0,False,,
370.0,52,912.0,9.402061855670103,2.73073741501564,52,2303.0,0.1332433849311135,52,2303.0,False,,
375.0,47,926.0,9.956989247311828,2.51092074245598,47,2291.0,0.09651367615285882,47,2291.0,False,,
380.0,54,1021.0,10.861702127659575,2.6363161776578425,54,2214.0,0.08886398482944247,54,2214.0,False,,
385.0,46,657.0,7.141304347826087,2.5676909690665384,46,2271.0,0.10574418345833746,46,2271.0,False,,
390.0,44,642.0,7.379310344827586,2.7398207854744814,44,2152.0,0.11286599887327509,44,2152.0,False,,
395.0,56,903.0,10.146067415730338,2.5857572375451214,56,2290.0,0.06737136899283816,56,2290.0,False,,
400.0,66,1041.0,10.84375,1.778471765854311,66,2468.0,0.052605070761179734,66,2468.0,False,,
405.0,62,1122.0,11.936170212765957,2.3036379142226977,62,2536.0,0.09662743911950589,62,2536.0,False,,
410.0,61,1208.0,12.583333333333334,2.4094553026032535,61,2563.0,0.06525092321429393,61,2563.0,False,,
415.0,61,1188.0,12.774193548387096,2.1227819097044502,61,2719.0,0.07280071197391269,61,2719.0,False,,
