step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,5.608074385765939,0,0.0,0.39617634286378695,0,0.0,False,,
10.0,0,0.0,0.0,11.26539844605429,0,0.0,0.7951677280912068,0,0.0,False,,
15.0,0,0.0,0.0,8.491096588801012,0,0.0,0.5736520573864841,0,0.0,False,,
20.0,6,18.0,0.75,5.357718020721045,6,18.0,0.3474466126480056,6,18.0,False,,
25.0,14,68.0,2.4285714285714284,5.882141326164094,14,68.0,0.3461014965149076,14,68.0,False,,
30.0,12,98.0,3.5,4.705639351111897,12,98.0,0.2732820968941866,12,98.0,False,,
35.0,16,171.0,5.896551724137931,5.368932017220024,16,171.0,0.27139297606347773,16,171.0,False,,
40.0,18,219.0,5.475,4.1419933855376145,18,228.0,0.1988515860098206,18,228.0,False,,
45.0,16,297.0,7.615384615384615,6.4709263449011765,16,297.0,0.3655159338139675,16,297.0,False,,
50.0,19,382.0,9.095238095238095,4.793104411139767,19,382.0,0.20184136950718812,19,382.0,False,,
55.0,28,499.0,11.880952380952381,3.913013995207358,28,499.0,0.1712583156992937,28,499.0,False,,
60.0,28,635.0,15.875,1.8205132997657643,28,635.0,0.12011384589548121,28,635.0,False,,
65.0,28,582.0,12.933333333333334,2.142910003298238,28,694.0,0.1526260440227054,28,694.0,False,,
70.0,27,695.0,14.787234042553191,3.9056637327521573,27,717.0,0.20104763640236342,27,717.0,False,,
75.0,30,538.0,9.781818181818181,3.0153408886777533,30,757.0,0.11136829856216394,30,757.0,False,,
80.0,24,323.0,5.767857142857143,4.476284552624482,24,695.0,0.24827417198455198,24,695.0,False,,
85.0,27,313.0,5.305084745762712,5.154130587151763,27,566.0,0.23352598249643916,27,566.0,False,,
90.0,23,407.0,7.267857142857143,5.380201896622988,23,518.0,0.23160074543195514,23,518.0,False,,
95.0,27,535.0,9.727272727272727,5.482404969582293,27,577.0,0.2388025434492722,27,577.0,False,,
100.0,31,675.0,12.053571428571429,4.74522577349246,31,697.0,0.1733879416897304,31,697.0,False,,
105.0,31,827.0,16.215686274509803,3.8353488789170744,31,849.0,0.1275348531571353,31,849.0,False,,
110.0,35,998.0,17.50877192982456,3.124959740332789,35,1020.0,0.09189715445585314,35,1020.0,False,,
115.0,39,1178.0,21.035714285714285,3.070160388301921,39,1200.0,0.15324286756642272,39,1200.0,False,,
120.0,39,1368.0,25.333333333333332,3.1738363617532164,39,1390.0,0.18740490950520675,39,1390.0,False,,
125.0,45,1577.0,27.189655172413794,1.6482052367425528,45,1599.0,0.0810798285301936,45,1599.0,False,,
130.0,49,1812.0,29.704918032786885,2.0704079617955053,49,1834.0,0.09701066055484316,49,1834.0,False,,
135.0,51,2060.0,32.1875,2.0459240440342734,51,2082.0,0.09704306400395231,51,2082.0,False,,
140.0,53,2320.0,35.69230769230769,1.5256240164246972,53,2342.0,0.0554684353575468,53,2342.0,False,,
145.0,64,2603.0,36.15277777777778,1.459569330188527,64,2625.0,0.05749272612388752,64,2625.0,False,,
150.0,58,2892.0,39.08108108108108,2.074169627825028,58,2914.0,0.07849397874418018,58,2914.0,False,,
155.0,58,3182.0,44.19444444444444,2.4047076709064767,58,3204.0,0.1237544693247037,58,3204.0,False,,
160.0,63,3478.0,47.64383561643836,1.1377031944205005,63,3500.0,0.04481754264771565,63,3500.0,False,,
165.0,64,3796.0,51.2972972972973,1.4186419182042085,64,3818.0,0.055515859991386564,64,3818.0,False,,
170.0,58,3601.0,48.66216216216216,1.6496151197341384,58,3914.0,0.08974277175423165,58,3914.0,False,,
175.0,52,3635.0,49.12162162162162,2.141671373707032,52,3773.0,0.07239530045463109,52,3773.0,False,,
180.0,56,3912.0,52.86486486486486,3.2149029017482804,56,3936.0,0.08727479963333591,56,3936.0,False,,
185.0,58,4194.0,53.08860759493671,2.2366333578286306,58,4194.0,0.0629267276745654,58,4194.0,False,,
190.0,60,4489.0,61.49315068493151,2.101240443748132,60,4489.0,0.12371489942883578,60,4489.0,False,,
195.0,64,4796.0,66.61111111111111,0.9359138731307297,64,4796.0,0.05777184109343613,64,4796.0,False,,
200.0,61,4257.0,56.01315789473684,1.0365183215845633,61,4815.0,0.05160135904874194,61,4815.0,False,,
205.0,55,3297.0,42.26923076923077,2.1236874880025627,55,4542.0,0.08199516833895036,55,4542.0,False,,
210.0,47,2589.0,32.77215189873418,2.1108372243535527,47,4642.0,0.07493475963714005,47,4642.0,False,,
215.0,45,2048.0,27.30666666666667,1.883239452587309,45,4869.0,0.08011182093318073,45,4869.0,False,,
220.0,48,1926.0,23.48780487804878,1.5285775264492192,48,4814.0,0.07322964687820537,48,4814.0,False,,
225.0,45,2098.0,25.27710843373494,2.6480679752406875,45,4508.0,0.13711833557665581,45,4508.0,False,,
230.0,45,2291.0,26.63953488372093,2.767151630362307,45,4122.0,0.10392832790209106,45,4122.0,False,,
235.0,47,2512.0,28.224719101123597,3.0943559703924235,47,3820.0,0.1198820059276811,47,3820.0,False,,
240.0,50,2754.0,32.785714285714285,3.36698296724745,50,3482.0,0.13167821210794725,50,3482.0,False,,
245.0,54,3015.0,34.26136363636363,3.599697521126798,54,3403.0,0.15483276712554772,54,3403.0,False,,
250.0,56,3283.0,38.174418604651166,3.352262179463938,56,3285.0,0.11204452222062514,56,3285.0,False,,
255.0,58,3569.0,39.65555555555556,3.2857231607958144,58,3570.0,0.1188219636231152,58,3570.0,False,,
260.0,61,3863.0,41.53763440860215,3.4421801215286942,61,3863.0,0.13659135726784993,61,3863.0,False,,
265.0,66,4180.0,45.934065934065934,3.003624874604636,66,4180.0,0.10964361021624719,66,4180.0,False,,
270.0,68,4512.0,50.69662921348315,2.367399674531072,68,4512.0,0.08753413193561041,68,4512.0,False,,
275.0,73,4860.0,54.60674157303371,2.1043858395699715,73,4860.0,0.08228819261228633,73,4860.0,False,,
280.0,71,5211.0,59.21590909090909,2.261546449770784,71,5211.0,0.0825261780232217,71,5211.0,False,,
285.0,72,5567.0,61.855555555555554,2.2246052871196316,72,5567.0,0.08222698578260614,72,5567.0,False,,
290.0,75,5927.0,64.42391304347827,1.9436240981371227,75,5927.0,0.07627356215631031,75,5927.0,False,,
295.0,72,6287.0,66.88297872340425,2.39841112623071,72,6287.0,0.10348744937851785,72,6287.0,False,,
