step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,5.871148043653618,0,0.0,0.4220212265555247,0,0.0,False,,
10.0,0,0.0,0.0,12.362588460993507,0,0.0,0.8889080044316456,0,0.0,False,,
15.0,0,0.0,0.0,8.700173937749014,0,0.0,0.5991633554207034,0,0.0,False,,
20.0,7,20.0,0.8333333333333334,6.010353358308226,7,20.0,0.334077615335632,7,20.0,False,,
25.0,10,40.0,1.4814814814814814,6.229478016190609,10,48.0,0.4090438362539027,10,48.0,False,,
30.0,9,75.0,2.8846153846153846,5.815422501568804,9,75.0,0.33699771833637454,9,75.0,False,,
35.0,11,119.0,4.25,5.663521407287974,11,122.0,0.33071855763755426,11,122.0,False,,
40.0,17,180.0,5.0,4.738291908532553,17,180.0,0.23959928298874342,17,180.0,False,,
45.0,16,252.0,6.631578947368421,6.623320922384515,16,252.0,0.3579868783365729,16,252.0,False,,
50.0,18,334.0,9.277777777777779,4.915376347819357,18,334.0,0.30450440241142995,18,334.0,False,,
55.0,25,429.0,10.214285714285714,3.320870895761214,25,429.0,0.13062286661873818,25,429.0,False,,
60.0,22,538.0,13.45,4.237010782465473,22,540.0,0.21456172039161836,22,540.0,False,,
65.0,26,660.0,15.348837209302326,3.1704049086171726,26,660.0,0.1390044600995226,26,660.0,False,,
70.0,28,789.0,17.931818181818183,3.222548011198173,28,791.0,0.14036951951043092,28,791.0,False,,
75.0,30,937.0,19.520833333333332,3.099108312757616,30,937.0,0.11865263258839526,30,937.0,False,,
80.0,27,749.0,13.87037037037037,4.196019741120746,27,962.0,0.21979987723880648,27,962.0,False,,
85.0,24,482.0,9.09433962264151,4.301752988789106,24,864.0,0.2419511973144686,24,864.0,False,,
90.0,18,431.0,7.981481481481482,4.416543270345503,18,777.0,0.20293767433343807,18,777.0,False,,
95.0,18,487.0,8.696428571428571,5.238245449445529,18,785.0,0.2646416412345165,18,785.0,False,,
100.0,27,591.0,10.553571428571429,3.6667525227275086,27,887.0,0.1627808538558433,27,887.0,False,,
